,label,subject,content
0,1, 교회를 위하여 기도합시다.,"주님, 구원의 말씀을 전하는 교회가 주님의 말씀안에서 생활하며 많은 이들을 주님의 품으로 인도하게 하소서."
1,1, 교회를 위하여 기도합시다.,"주님, 그리스도의 어머니이신 마리아를 공경하며 축일을 지내는 교회를 축복하여 주시고, 우리 그리스도인이 하느님의 뜻에 순종하신 마리아를 본받아 인류 구원 사업에 순명케 하소서."
2,1, 교회를 위하여 기도합시다.,"주님, 교회가 영원한 생명을 주는 그리스도의 말씀에 마음의 문을 활짝 열고 그 말씀을 온전히 따르게 하소서."
3,1, 교회를 위하여 기도합시다.,"주님, 당신의 말씀을 전하고 사랑을 실천하고자 세상에서 힘겹게 등불이 되는 역할을 하는 교회를 위하여 기도하오니 끝까지 당신을 증거하고 찬양하는 빛과 소금의 교회가 되게 하소서."
4,1, 교회를 위하여 기도합시다.,"주님, 하느님 나라를 기다리며 갈망하는 교회로 하여금 참생명의 말씀을 실천하고 구원의 기쁜 소식을 선포하게 하소서."
5,1, 교회를 위하여 기도합시다.,"주님, 당신 약속만을 희망하는 교회가 성령으로 충만하여 희망의 원천이시며 사랑이신 주님안에서 더욱 사랑넘치는 생활을 하게 하소서."
6,1, 교회를 위하여 기도합시다.,"주님, 교회가 성서안에서 하느님의 음성을 올바로 알아듣고 주님과 이웃을 사랑하는 일에 더욱 충실하고 어두운 곳에 빛과 소금이 될 수 있는 교회되게 하소서."
7,1, 교회를 위하여 기도합시다.,"주님, 만찬 석상에서 성체성사를 세우시고 거행하도록 하셨으니 이 세상 모든 이들을 교회로 초대하시어 성체를 모심으로서 영원한 생명에로 인도되는 교회가 되게 해주소서."
8,1, 교회를 위하여 기도합시다.,"주님, 그리스도 부활의 기쁨을 노래하는 교회가 죽음의 세력을 이긴 그리스도의 부활처럼 온 세상의 모든 악과 죽음으로부터 승리하여 사랑과 평화의 세상으로 부활토록 하소서."
9,1, 교회를 위하여 기도합시다.,"주님, 인류를 구원하신 당신의 사랑을 교회를 통하여 절실히 보여주시어 보다 많은 이들이 교회 전례에 참여함으로서 부활의 기쁨을 느낄 수 있도록 도와 주소서."
10,1, 교회를 위하여 기도합시다.,"주님, 주님의 교회가 삶의 진정한 의미를 잃어버린 많은 현대인들에게 희망과 용기를 북돋아 주시고 주님과 이웃을 사랑하는 일에 더욱 충실하게 하소서."
11,1, 교회를 위하여 기도합시다.,"주님, 교회로 하여금 그리스도의 말씀을 듣고 그 신비를 더욱 깊이 깨달아 어떠한 처지에서나 그리스도를 따뜻하게 맞아들일 수 있도록 항상 깨어 있게 하소서."
12,1, 교회를 위하여 기도합시다.,"주님, 이 세상을 순례하는 당신의 백성들에게 바른 신앙을 주시어 그릇됨과 오류가 만연되어 가는 이 시대에 진리의 빛을 비추는 등불이 되게 하소서."
13,1, 교회를 위하여 기도합시다.,"주님, 그리스도의 부활을 노래하며 기뻐 용약하는 교회가 죽음의 세력을 이기고 승리하신 그리스도의 부활을 온 세상에 선포하여 주님을 모르는 이들이 하루속히 교회로 찾아 들어 함께 즐거움을 누리게 하소서."
14,1, 교회를 위하여 기도합시다.,"주님, 교회가 주님의 자비와 사랑을 더욱 깊이 깨달아 소외되고 상처받은 많은 사람을 따뜻이 품어 주고 회개하는 사람들을 기꺼이 받아들이게 하소서."
15,1, 교회를 위하여 기도합시다.,"주님, 교회로 하여금 그리스도의 참사랑을 실천함으로서 영적, 물적으로 고통받고 있는 모든 이들이 하느님의 축복을 나누어 받을 수 있도록, 이웃 안에서 봉사하는 주님의 도구가 되게 하소서."
16,1, 교회를 위하여 기도합시다.,"주님, 교회가 생명을 바쳐 사랑하신 그리스도의 모범을 따라, 폭력과 불신의 어둠 속에서도 항상 불우한 이웃을 사랑하고 이웃에게 봉사할 수 있도록 도와 주소서."
17,1, 성 교회를 위하여 기도합시다.,"당신의 영광스러운 모습을 교회에 맡기신 주여, 세상의 어두움속에서 당신의 영광을 전하는 교회로 하여금 온갖 고통과 어두움 속에 당신의 참사랑과 기쁨을 전하게 하소서."
18,1, 교회를 위하여 기도합시다.,"주님, 일치와 사랑의 교회가 되게 해주시어 소외당한 많은 사람들이 진정 하느님 품을 찾아 천상 잔치에 참여할 수 있도록 도와 주소서."
19,1, 성교회를 위하여 기도합시다.,"사랑의 원천이신 하느님, 아버지 그리스도의 빛과 향기가 샘 솟는 교회되기를 기도하오니, 우리로 하여금 믿음과 사랑속에 하나되어 성령으로 가득 채워주시고 그 기쁨을 이웃에게 전하는 참된 생명의 교회가 되게 하소서."
20,1, 교회를 위하여 기도합시다.,죽음과 부활로서 우리에게 새로운 생명을 주신 주님 당신 성령의 표징으로 교회를 세우셨습니다. 현 시대의 모든 어려움을 이기고 당신께서 오실때까지 사랑의 성교회로 영원히 남게 하소서.
21,1, 교회를 위하여 기도합시다.,주님. 구원의 말씀을 전하는 교회가 주님의 말씀안에서 생활하며 많은 이들을 주님의 품으로 인도하게 하소서.
22,1, 교회를 위하여 기도합시다.,"주님, 그리스도의 어머니이신 마리아를 공경하며 축일을 지내는 교회를 축복하여 주시고, 우리 그리스도인이 하느님의 뜻에 순종하신 마리아를 본받아 인류 구원 사업에 순명케 하소서."
23,1, 교회를 위하여 기도합시다.,"주님, 교회가 영원한 생명을 주는 그리스도의 말씀에 마음의 문을 활짝 열고 그 말씀을 온전히 따르게 하소서."
24,1, 교회를 위하여 기도합시다.,"주님, 당신의 말씀을 전하고 사랑을 실천하고자 세상에서 힘겹게 등불이 되는 역할을 하는 교회를 위하여 기도하오니 끝까지 당신을 증거하고 찬양하는 빛과 소금의 교회가 되게 하소서."
25,1, 교회를 위하여 기도합시다.,"주님, 하느님 나라를 기다리며 갈망하는 교회로 하여금 참생명의 말씀을 실천하고 구원의 기쁜 소식을 선포하게 하소서."
26,1, 교회를 위하여 기도합시다.,"주님, 당신 약속만을 희망하는 교회가 성령으로 충만하여 희망의 원천이시며 사랑이신 주님안에서 더욱 사랑넘치는 생활을 하게 하소서."
27,1, 교회를 위하여 기도합시다.,"주님, 교회가 성서안에서 말씀하시는 주님의 음성을 올바로 알아듣고 주님과 이웃을 사랑하는 일에 더욱 충실하고 어두운 곳에 빛과 소금이 될수 있는 교회되게 하소서."
28,1, 교회를 위하여 기도합시다.,"주님, 만찬석상에서 성체성사를 세우시고 거행하도록 하셨으니 이 세상 모든 이들을 교회로 초대하시어 성체를 모심으로서 영원한 생명에로 인도되는 교회가 되게 해 주소서."
29,1, 교회를 위하여 기도합시다.,"주님, 그리스도 부활의 기쁨을 노래하는 교회가 죽음의 세력을 이긴 그리스도의 부활처럼 온 세상의 모든 악과 죽음으로부터 승리하여 사랑과 평화의 세상으로 부활토록 하소서."
30,1, 교회를 위하여 기도합시다.,"주님, 인류를 구원하신 당신의 사랑을 교회를 통하여 절실히 보여주시어 보다 많은 이들이 교회전례에 참여함으로서 부활의 기쁨을 느낄 수 있도록 도와 주소서."
31,1, 교회를 위하여 기도합시다.,"주님, 주님의 교회가 삶의 진정한 의미를 잃어버린 많은 현대인들에게 희망과 용기를 북돋아 주시고 주님과 이웃을 사랑하는 일에 더욱 충실하게 하소서."
32,1, 교회를 위하여 기도합시다.,"주님, 교회로 하여금 그리스도의 말씀을 듣고 그 신비를 더욱 깊이 깨달아 어떠한 처지에서나 그리스도를 따뜻하게 맞아들일 수 있도록 항상 깨어 있게 하소서."
33,1, 교회를 위하여 기도합시다.,"주님, 이 세상을 순례하는 당신의 백성들에게 바른 신앙을 주시어 그릇됨과 오류가 만연되어 가는 이 시대에 진리의 빛을 비추는 등불이 되게 하소서."
34,1, 교회를 위하여 기도합시다.,"주님, 그리스도의 부활을 노래하며 기뻐 용약하는 교회가 죽음의 세력을 이기고 승리하신 그리스도의 부활을 온 세상에 선포하여 주님을 모르는 이들이 하루속히 교회로 찾아 들어 함께 즐거움을 누리게 하소서."
35,1, 교회를 위하여 기도합시다.,"주님, 교회가 주님의 자비와 사랑을 더욱 깊이 깨달아 소외되고 상처받은 많은 사람을 따뜻이 품어 주고 회개하는 사람들을 기꺼이 받아들이게 하소서."
36,1, 교회를 위하여 기도합시다.,"주님, 교회로 하여금 그리스도의 참사랑을 실천함으로서 영적, 물적으로 고통받고 있는 모든 이들이 하느님의 축복을 나누어 받을 수 있도록, 이웃 안에서 봉사하는 주님의 도구가 되게 하소서."
37,1, 교회를 위하여 기도합시다.,"주님, 교회가 생명을 바쳐 사랑하신 그리스도의 모범을 따라, 폭력과 불신의 어둠 속에서도 항상 불우한 이웃을 사랑하고 이웃에게 봉사할 수 있도록 도와 주소서."
38,1, 성 교회를 위하여 기도합시다.,"당신의 영광스러운 모습을 교회에 맡기신 주님, 세상의 어두움속에서 당신의 영광을 전하는 교회로 하여금 온갖 고통과 어두움속에 당신의 참사랑과 기쁨을 전하게 하소서."
39,1, 교회를 위하여 기도합시다.,"주님, 일치와 사랑의 교회가 되게 해주시어 소외당한 많은 사람들이 진정 하느님 품을 찾아 천상잔치에 참여할 수 있도록 도와 주소서."
40,1, 교회를 위하여 기도합시다.,"사랑의 원천이신 하느님, 아버지 그리스도의 빛과 향기가 샘 솟는 교회되기를 기도하오니, 우리로 하여금 믿음과 사랑속에 하나되어 성령으로 가득 채워주시고 그 기쁨을 이웃에게 전하는 참된 생명의 교회가 되게 하소서."
41,1, 교회를 위하여 기도합시다.,죽음과 부활로서 우리에게 새로운 생명을 주신 주님 당신 성령의 표징으로 교회를 세우셨습니다. 현 시대의 모든 어려움을 이기고 당신께서 오실때까지 사랑의 성교회로 영원히 남게 하소서.
42,1, 한국교회를 위하여 기도합시다.,"주님, 영적으로 메마른 이 시대에 한국 교회가 그리스도를 따르는 참된 기쁨과 평화를 보여 주시어 냉담한 이들과 가난하고 소외 받는 이들의 안식처가 될 수 있도록 도와 주소서."
43,1, 교회를 위하여 기도합시다.,주님. 구원의 말씀을 전하는 교회가 주님의 말씀안에서 생활하며 많은 이들을 주님의 품으로 인도하게 하소서.
44,1, 교회를 위하여 기도합시다.,"주님, 그리스도의 어머니이신 마리아를 공경하며 축일을 지내는 교회를 축복하여 주시고, 우리 그리스도인이 하느님의 뜻에 순종하신 마리아를 본받아 인류 구원 사업에 순명케 하소서."
45,1, 교회를 위하여 기도합시다.,"주님, 교회가 영원한 생명을 주는 그리스도의 말씀에 마음의 문을 활짝 열고 그 말씀을 온전히 따르게 하소서."
46,1, 교회를 위하여 기도합시다.,"주님, 당신의 말씀을 전하고 사랑을 실천하고자 세상에서 힘겹게 등불이 되는 역할을 하는 교회를 위하여 기도하오니 끝까지 당신을 증거하고 찬양하는 빛과 소금의 교회가 되게 하소서."
47,1, 교회를 위하여 기도합시다.,"주님, 하느님 나라를 기다리며 갈망하는 교회로 하여금 참생명의 말씀을 실천하고 구원의 기쁜 소식을 선포하게 하소서."
48,1, 교회를 위하여 기도합시다.,"주님, 당신 약속만을 희망하는 교회가 성령으로 충만하여 희망의 원천이시며 사랑이신 주님안에서 더욱 사랑넘치는 생활을 하게 하소서."
49,1, 교회를 위하여 기도합시다.,"주님, 교회가 성서안에서 말씀하시는 주님의 음성을 올바로 알아듣고 주님과 이웃을 사랑하는 일에 더욱 충실하고 어두운 곳에 빛과 소금이 될수 있는 교회되게 하소서."
50,1, 교회를 위하여 기도합시다.,주님. 구원의 말씀을 전하는 교회가 주님의 말씀안에서 생활하며 많은 이들을 주님의 품으로 인도하게 하소서.
51,1, 교회를 위하여 기도합시다.,"주님, 그리스도의 어머니이신 마리아를 공경하며 축일을 지내는 교회를 축복하여 주시고, 우리 그리스도인이 하느님의 뜻에 순종하신 마리아를 본받아 인류 구원 사업에 순명케 하소서."
52,2, 분단된 조국통일을 위해 기도합시다.,동일한 민족이 이념도 목적도 모른 채 분단되었다는 사실로써만 서로를 적대하고 있는 저희 한반도의 절박한 사정을 가련히 보시어 주님의 도우심으로 하나의 나라가 되게 하소서.
53,2, 우리나라 평화통일을 위해 기도합시다.,"주님, 남북으로 갈라져 있는 우리의 현실에 당신의 평화와 사랑을 내려주시어 한 형제로서 한 마음을 나누는 가운데 통일을 준비하고 실현해 나갈 수 있도록 도와 주소서."
54,2, 북한의 회계를 위하여 기도합시다.,"주님, 신앙의 자유를 누리지 못하고 많은 억압을 받고 있는 북한 형제들의 믿음을 더욱 굳세게 하여 주시고 남북한 형제들이 한데 모여 감사와 찬미의 제사를 봉헌할 그날이 하루 빨리 오게 하소서."
55,2, 우리나라의 평화 통일을 위하여 기도합시다.,"주님, 많은 어려움 가운데 이 민족을 보호해 주신 주님께 감사드리며 청하오니, 이 겨레가 간절히 원하는 평화 통일이 하루 빨리 이루어 질 수 있도록 자비를 베풀어 주소서."
56,2, 한반도 평화와 세계평화를 위하여 기도합시다.,"주님, 남북으로 갈라진 한반도에 평화적 통일이 하루 빨리 이루어지게 하시고 나아가 세계가 주님안에서 하나되어 당신의 영광을 드러내게 하소서."
57,2, 조국의 평화 통일을 위하여 기도합시다.,세계 열강의 이해 다툼으로 분단된 우리 조국이 주님의 인도하심으로 평화적 통일을 이루어 동질성을 회복하고 하느님을 섬기는 거룩한 민족 되게 하소서.
58,2, 민족의 화해와 일치를 위하여 기도합시다.,"주님, 이 나라 이민족을 불쌍히 여기소서. 분단의 슬픔을 안고 이념의 장벽으로 서로를 외면하고 있는 저희 민족의 상처를 치유하시어 화해와 일치를 통하여 저희 모두가 한 형제되는 기쁨을 허락하소서."
59,2, 북한 동포들을 위하여 기도합시다.,"주님, 폐쇄된 사회에서 신앙의 자유를 누리지 못하는 북한 형제들에게 위로와 힘을 주시고 조국통일의 길을 열어 주시어 영육간의 해방으로 진정한 주님의 찬미가를 소리 높여 부를 수 있도록 은총 베푸소서."
60,2, 우리나라를 위하여 기도합시다.,순교로 다져진 우리나라의 신앙이 이 세대에 더욱 빛나게 하시어 이웃에 대한 소박한 사랑으로 주님을 증거하게 하소서.
61,2, 우리 민족의 화해와 일치를 위하여 기도합시다.,"주님, 분단의 슬픔과 고통을 감당해야 하는 저희들을 불쌍히 여기시어 민족의 화해와 일치를 위하여 서로 용서하고 받아들임으로써 저희 모두가 한 형제되는 기쁨을 허락하소서."
